Plataforma,Fecha_Review,Semana_Review,Año_Review,Rating,Usuario,Puesto,Titulo,Texto,Pros,Contras,Fecha_Scrape,Semana_Scrape
Clutch,2020-07-17,29,2020,4.5,Kyle Welling,"Senior Engineering Manager, Dude Solutions",Web Development for SaaS Company,"""They are extremely helpful and flexible in finding new team members.""",,,2026-05-05,19
Clutch,2020-06-22,26,2020,4.5,Anonymous,"Director of Operations, Salesforce Consultancy",Dev Staff Augmentation for Salesforce Consultancy,"""They look for ways to enhance the partnership to encourage successes and make changes when necessary.""",,,2026-05-05,19
Clutch,2019-12-10,50,2019,5.0,Shaun Worcester,"Director of Technology and Marketing, HSD Metrics",IT Consulting for Online Survey Company,"""I talk with the developer every day, and we work well together.""",,,2026-05-05,19
Clutch,2019-11-25,48,2019,5.0,Matt Hrushka,"CTO, Signal",Staff Augmentation for Advertising Technology Company,"""I was impressed with the quality of the engineers and thoughtful management of the account.""",,,2026-05-05,19
Clutch,2019-11-19,47,2019,5.0,Anonymous,"VP of Engineering, Live Events Company",Internal Management App Dev for Live Events Company,"""Developers were very responsive and easy to reach in times of need.""",,,2026-05-05,19
Clutch,2019-11-05,45,2019,5.0,Matt Cesarz,"VP of Software Engineering, Optimal Blue",Staff Augmentation for Mortgage Loan Product,"""I was thrilled at how closely they worked with us to provide a great outcome.""",,,2026-05-05,19
Clutch,2019-10-30,44,2019,4.5,Anonymous,"President & COO, System Integration Company",Staff Augmentation for System Integration Company,"""The BairesDev programming staff has been knowledgable, skilled, reliable and easy to work with.""",,,2026-05-05,19
Clutch,2019-10-30,44,2019,5.0,Pablo Rodriguez Garcia,"Software Engineering Manager, CropTrak",Web Development for Farming Platform,"""The most impressive thing about them is how fast they can find the best possible candidate for your specific needs.""",,,2026-05-05,19
Clutch,2019-09-26,39,2019,5.0,Anonymous,"Senior Associate, Management Consulting Firm",Staff Augmentation for Management Consulting Firm,"""The speed that BairesDev can staff high-quality individuals into the positions we need is unparalleled.""",,,2026-05-05,19
Clutch,2019-08-22,34,2019,4.0,Greg Hansen,"CEO, Hans & Company",Software Dev Augmentation for Consulting Firm,“The main factor that sold me on them was our mutual alignment on business practices.”,,,2026-05-05,19
Clutch,2019-08-05,32,2019,5.0,Jack Tipsword,"CTO, Swordpoint Services",App Development for Software Services Firm,“The project management team was aggressive in contacting us to make sure we were happy with the services we were receiving.”,,,2026-05-05,19
Clutch,2019-06-13,24,2019,4.5,Douglas Kruse,"CEO, Tackzee",Mobile App Dev for Taxi Booking Company,"""Their team is tech-savvy, meeting all of the requirements.""",,,2026-05-05,19
Clutch,2019-05-23,21,2019,5.0,Anonymous,"Product / R&D Manager, Rolls-Royce PAMS",Enterprise Mobile App & Web Development for Rolls-Royce PAMS,"“Repeat business is the best testament to a team’s ability to perform, and I have no hesitations hiring them again.”",,,2026-05-05,19
Clutch,2019-05-16,20,2019,5.0,Eric Tessau,"VP, Digital Operations, Trone Brand Energy",Web Development and Maintenance for Advertising Agency Sites,"""They offer top-tier talent.""",,,2026-05-05,19
Clutch,2019-05-16,20,2019,4.5,Anonymous,"Director of People, Sidetracker",Mobile Dev & QA Staff Augmentation for Asset Management Platform,"""We would definitely go back to them again if we were looking for additional help.""",,,2026-05-05,19
Clutch,2019-03-21,12,2019,5.0,Anonymous,"Business Development, Patra",Custom Software Dev for Inbound Marketing Agency,“BairesDev was incredibly accommodating of the project’s broad and often unclear attributes.”,,,2026-05-05,19
Clutch,2019-02-08,6,2019,5.0,Paul Degnan,"Director of Platform Engineering, Celmatix",Dev Support for Health Technology Company,"""BairesDev provided a team of hardworking, skilled engineers and they were critical for our success.""",,,2026-05-05,19
Clutch,2018-12-20,51,2018,5.0,John Holley,"QA & Release Manager, Outdoors Education Company",QA Services for Outdoors Education Company,“They're willing to go above and beyond the contracted hours to meet our needs.”,,,2026-05-05,19
Clutch,2018-12-11,50,2018,5.0,Anonymous,"CTO, Exscribe",Web Dev for Orthopaedic Healthcare Solutions Company,“BairesDev helps us accomplish more work within a shorter timeframe than we ever could before.”,,,2026-05-05,19
Clutch,2018-11-06,45,2018,5.0,Anonymous,"Director of Operations, Software Consulting Firm",Staff Augmentation for Software Consulting Company,“Their developers are able to integrate quickly and efficiently into any project… .”,,,2026-05-05,19
Clutch,2018-10-05,40,2018,5.0,Anonymous,"CIO, Mechanical Systems Company",Staff Augmentation for Mechanical Systems Company,"""I’ve been very happy with what they deliver.""",,,2026-05-05,19
Clutch,2018-09-21,38,2018,5.0,Anonymous,"Software Development Manager, Data Services",Staff Augmentation for Data Services Company,"“BairesDev provides reliable, top-notch development support on a daily basis.”",,,2026-05-05,19
Clutch,2018-08-22,34,2018,5.0,Anonymous,"VP, Engineering, Cryptocurrency Investment Firm",Staff Augmentation for Cryptocurrency Investment Company,“They provide excellent engineers and increase our talent pool. Their talent retention is also very good.”,,,2026-05-05,19
Clutch,2018-08-10,32,2018,4.5,Anonymous,"CEO, Azlo",Web & App Dev for Digital Banking Startup,"“BairesDev effectively sources and filters talent, building a team that perfectly fits our needs.”",,,2026-05-05,19
Clutch,2017-11-27,48,2017,4.5,Anonymous,"Founder, B2C Startup",Staff Augmentation for B2C Startup,“[W]e were very happy with the expertise and the fundamentals that [they] brought to the table.”,,,2026-05-05,19
Clutch,2017-11-14,46,2017,5.0,Anonymous,"Director, R/GA Latin America",Staff Augmentation for Marketing & Technology Agency,“They are able to meet all of our expectations while maintaining the flow of the relationship.”,,,2026-05-05,19
Clutch,2017-09-01,35,2017,4.0,Anonymous,"CTO, Travel Booking Services Firm",Staff Augmentation for Travel Booking Services Platform,"""They're constantly talking to us and willing to set-up meetings, even at the senior leadership level, to discuss ways in which we can partner with them in a better way.""",,,2026-05-05,19
Clutch,2017-07-25,30,2017,5.0,Anonymous,"Program Manager, Software Firm",Staff Augmentation for Software Company,"""BairesDev is really pleasant to work with.""",,,2026-05-05,19
Clutch,2017-07-06,27,2017,5.0,Anonymous,"VP of Engineering, Performance Marketing Platform",Staff Augmentation for Performance Marketing Platform,"""BairesDev has consistently produced excellent engineers.""",,,2026-05-05,19
Clutch,2025-04-16,16,2025,5.0,Anonymous,"Director of Customer Engagement, Consulting Company",Salesforce Support Services for Consulting Company,"""They are able to provide high-quality resources.""",,,2026-05-05,19
Clutch,2024-08-21,34,2024,5.0,Darren Y,"CEO, Dataline Systems, LLC.",Software Revamp for Business Process Automation Company,"""BairesDev provided a comprehensive discovery process to ensure successful outcomes.""",,,2026-05-05,19
Clutch,2024-08-14,33,2024,5.0,Gatel Patel,"CEO, Gatel Solar",Web Development & Design for Energy Company,BairesDev designed and developed a website for an energy company.,,,2026-05-05,19
Clutch,2024-07-24,30,2024,5.0,Manish Garg,"Engineering Manager, InkTavo",Custom Software Dev & Staff Aug for E-Commerce Platform,"""BairesDev has a good process in place for hiring.""",,,2026-05-05,19
Clutch,2024-07-08,28,2024,5.0,Cristina Amaral,"Compensation & Benefits Manager, Hala Systems, Inc",Dev Services for Management Company,"""They can adapt to our needs with fast and efficient results.""",,,2026-05-05,19
Clutch,2024-06-20,25,2024,4.0,Anonymous,"Head of Software Development, BriefYourMarket",Staff Aug & Product Maintenance for Mktg Tech Software Co,"""Their ability to get resources quickly stood out.""",,,2026-05-05,19
Clutch,2024-05-31,22,2024,4.5,Anonymous,"Director of Business Development, Automotive Co",UX/UI Design & Mobile App Dev for Automotive Company,"""All the developers were great to work with.""",,,2026-05-05,19
Clutch,2024-05-22,21,2024,5.0,Michael Collins,"Partner, Precision Global Consulting",IT Staff Aug & Website Dev for Employment Company,"""Their attention to small details supports engineers and enables them to make a valuable contribution.""",,,2026-05-05,19
Clutch,2024-04-11,15,2024,5.0,Anonymous,"Engineering Manager, Software Company",Mobile App Testing & Development for Software Company,"""We appreciated their good candidates and genuine care for us.""",,,2026-05-05,19
Clutch,2024-03-18,12,2024,5.0,Anonymous,"Director, Agave Spirits Producer",Website Dev & Cloud Configuration for Agave Spirits Producer,"""They completed all their projects on time and were highly responsive to all requests.""",,,2026-05-05,19
Clutch,2024-03-13,11,2024,5.0,Anonymous,"CTO, Real Estate Company",Business Operations Portal Dev for Real Estate Company,"""They did a great job for what we asked of them.""",,,2026-05-05,19
Clutch,2024-03-05,10,2024,5.0,Anonymous,"Head of Engineering, Real Estate Analytics Company","Custom Software, Web & Mobile App Dev for Real Estate Co","""I am impressed by the quality of their engineers.""",,,2026-05-05,19
Clutch,2024-02-12,7,2024,4.0,Eric Buckland,"CEO, Translational Imaging Innovations",Web App & Custom Software Dev for Medical Technology Co,"""We appreciated the quality of contractors and location in our time zone.""",,,2026-05-05,19
Clutch,2024-01-31,5,2024,5.0,Joe Saavedra,"CEO, Infinite Objects, Inc","Web, App & API Development for Electronic Products Company",An electronics company has hired BairesDev to develop new features on their website and their in-house native app. The team also developed API endpoints for the client's consumer-facing products.,,,2026-05-05,19
Clutch,2024-01-26,4,2024,5.0,Anonymous,"Executive, Hexvarium",Custom Software Dev for Telecommunications Company,A telecommunications company hired BairesDev for custom software development. The team helped the client augment their build core product development capabilities.,,,2026-05-05,19
Clutch,2022-06-03,22,2022,5.0,Anonymous,"Writer, Government Firm",Software Development Support for Government Firm,"""We've successfully updated our identity verification platform.""",,,2026-05-05,19
Clutch,2022-02-18,7,2022,5.0,Anonymous,"CTO, Medical Device Company",Cloud & Mobile App Development for Medical Device Company,"""They have high-quality engineers.""",,,2026-05-05,19
Clutch,2021-03-12,10,2021,5.0,Julia Kowalik,"Talent Specialist, Bounteous",Web & Mobile App Revamp for Digital Transformation Agency,"""Everyone is passionate about the project and hardworking.""",,,2026-05-05,19
Clutch,2021-01-14,2,2021,5.0,Mike Hutchings,"CTO, Technology Nonprofit",Custom Coding & Process Flows for Technology Nonprofit,"""Their talent pool is really impressive.""",,,2026-05-05,19
Clutch,2020-11-25,48,2020,4.5,Anonymous,"CEO, Golf Program & Technology",iOS Development for Golf Program & Technology,"""They care about providing Senior level Developers.""",,,2026-05-05,19
Clutch,2020-10-29,44,2020,5.0,Anonymous,"CTO, Sports Company",Mobile App Revamp for Sports Company,"""They have great communication and constant feedback.""",,,2026-05-05,19
Clutch,2019-12-03,49,2019,5.0,Anonymous,"Operations Coordinator, Consulting Company",Development Services for Consultancy,"""We've never had a vendor come to our office to have a face-to-face meeting before.""",,,2026-05-05,19
Clutch,2019-11-04,45,2019,5.0,Patrick Mee,"VP of Engineering, Engineering Startup",Staff Augmentation for Engineering Company,"""We have over 70 engineers currently provided by them.""",,,2026-05-05,19
TeamBlind,2024-07-01,27,2024,4.0,Anónimo,Software Engineer,Good company for a South American,,It is fully remote and allows you to work remotely for big American companies,"Compensation could be better, but their business is to receive from the big companies and repay employees",2026-05-05,19
TeamBlind,2024-05-22,21,2024,4.0,Anónimo,Software Engineer,Great opportunity for LATAM based remote work,,Opportunity to work with great clients. They do manage to get you the right positions.,"Unpredictable and uncertain once your project ends, might need to find a new job. However most if not all nearshore companies have this issue. Comp review process is not good and almost always denies raises UNLESS you have a competing offer.",2026-05-05,19
TeamBlind,2023-09-26,39,2023,4.0,Anónimo,Software Engineer,"It has good work life balance, compensation is not great",,"If you get a good US client and do medium to good work, you can have a good work/life balance and learn a lot with mid/big US companies (clients) and its developers. It's a good first experience to work with mid to big size US companies, specially for LATAM folks. Oh, and if you do good, you have the opportunity to mentor other devs.","Salary and perks are not good. You should know that as a dev outsourcing company, they'll get a cut from your salary, so the business model itself prevents you from getting a high salary. Vacation days are so limited, you get actual 10 days per year + holidays, that's it. And your base salary is your total compensation, you get no stocks or bonuses.",2026-05-05,19
TeamBlind,2023-08-08,32,2023,5.0,Anónimo,Communication Manager,"A great company to work, if you know how to work remotely",,"Flexible hours, multicultural team, great professionals, reasonable compensation, clear career path","Benefits, Fluctuating market environment right now, lack of in-person interactions",2026-05-05,19
TeamBlind,2023-05-26,21,2023,3.0,Anónimo,Operations Supervisor,Remote work 100%,,100% remote work and managers are fine overall. Hours are flexible most of the time,Low compensation. It’s well below market. You have to make a really good deal before accepting the offer cuz then it will be hard to get raised (for non SE roles). The best you can do is to see it as a business partner relationship you give and you get. They are not an employer cuz they get rid of you at any moment and they have no legal requirement to pay anything but the days you worked.,2026-05-05,19
TeamBlind,2023-05-22,21,2023,5.0,Anónimo,Mobile Applications Developer,Great work life balance,,"I feel pretty great working over here, but it has to do a lot with the people I've met. The recruiting process is pretty slow, departments are understaffed, and overtime is not fairly compensated in all departments. Wage is competent, and adjustments are as well, that's why I actually stay over here, even considering the above. ! The company lack a career development plan for software engineer. A truly inclusive atmosphere","It's growing too fast, and I believe sometimes the company is not moving fast enough, but it's working on it.",2026-05-05,19
TeamBlind,2023-05-11,19,2023,3.0,Anónimo,Software Engineer,I had the opportunity to work for an international company,,"remote work, i got lucky to work on a great client in SF",I feel like I will always be a software engineer. no career growth. compensation is not bad but not awesome. I hear they increase your salary if you bring an offer from other company.,2026-05-05,19
TeamBlind,2023-02-16,7,2023,5.0,Anónimo,Marketing Operations Manager,I love working at Baires,,"Since I started, I have felt like part of a big family. Good pay Challenging environment",Not really. I have no complaints so far working here.,2026-05-05,19
TeamBlind,2023-02-15,7,2023,5.0,Anónimo,Digital Marketing,Competitive compensation and rewarding work,,"Rapidly growing company that allows you to grow your role within. Very intelligent co-workers with interesting background, lots of amazing projects to work on.",Can be stressful at times when market conditions are tough,2026-05-05,19
TeamBlind,2022-12-31,52,2022,5.0,Anónimo,Software Engineer,Great Work life balance,,"For people who live in LATAM, having a salary of 4k/month is a huge salary","For people in US, they are not going to pay enough",2026-05-05,19
TeamBlind,2022-12-09,49,2022,4.0,Anónimo,Senior Software Engineer,Great hours and autonomy,,- Big projects to join according to your tech stack - No remote monitoring software - Extra projects/hackathons if you're willing to put in the hours,"- Opaque career growth/salary hikes - No benefits (health, bonus etc)",2026-05-05,19
TeamBlind,2022-05-27,21,2022,5.0,Anónimo,Business Analyst,Great work life balance,,- Good and understanding managers - Pretty fast People Experience Business Partner,"- Only 10 days of PTO - Salary could be improved - Try to negotiate a good salary, there isn't a really good path to increase it later.",2026-05-05,19
TeamBlind,2022-04-05,14,2022,4.0,Anónimo,Senior Back End Engineer,Good compensation for outside US,,"Nice compensation to live abroad, fully remote, communication is done entirely with your client.","Its consultancy, so it really depends on you project. HR is terrible, the hiring process is a pain",2026-05-05,19
TeamBlind,2022-03-14,11,2022,5.0,Anónimo,Software Engineer,Particularly good for SWE based in LATAM,,"Base salary can be very competitive for LATAM standards, but you need to be aggressive negotiating it. Fully remote work; time management is generally up to you. Opportunities to work for important clients and have an impact on the lives of millions of customers. They assign you a mentor so you can ramp up more easily in new tech stacks.","For the first few months, they keep very close track of your work time. Once you're assigned a client/project, it's not super easy to change to a more exciting one. You basically don't have a choice in this. Career growth is not well defined. And company culture is not very impressive. Total compensation could be more diversified. It's basically just salary.",2026-05-05,19
TeamBlind,2022-02-01,5,2022,5.0,Anónimo,Software Engineer,All good here,,Good salary Good mgmt Remote options Equipment for remote contractors,"You have to fill a  ton of documents for ""tracking"" purposes",2026-05-05,19
TeamBlind,2021-12-21,51,2021,4.0,Anónimo,Software Development Engineer,One of the best companies for Latin American SWEs,,"It’s a remote first company, you can expect a lot of flexibility and great WLB. It’s very well paid (for Latin America) but you have to know how to negotiate. People are really nice! (So far). Lots of big clients and interesting project, still, there is a bit of luck involved to get assigned in one of them. Not saying smaller clients/projects are uninteresting but the bigger ones give you more clout I guess. They are growing at a very fast rate, probably the biggest outsourcing company in Latin America.","The interviews process can get messy, many people get involved and communication can complicated. You are officially there as a contractor (at least I know that’s true for Brazilians and Mexicans), so you don’t get all the benefits of a “real” employee, you have to take care of your own taxes or pay someone to do so, take care of your own insurance, etc. That said, many people I know prefer to be under this kind of contract. You can spend a good amount of time on the bench if you are not assigned to a project, you are still paid your full salary though (this can be a pro depending of your mindset, I guess).",2026-05-05,19
TeamBlind,2021-09-14,37,2021,3.0,Anónimo,Software Engineer,HR hell,,"Nice to work ""off the leash"", and pays well if you ask well.","You won't get any raise by performance, just by threatening. Communication is the worst, everything is shady and ""need to know basis"". Onboarding and resignation process are a total mess.",2026-05-05,19
TeamBlind,2021-08-31,35,2021,3.0,Anónimo,Software Engineer,"Great co-workers, great work-life balance",,Work-life balance is real. I am not 100% certain this is widespread but it has been in my case. You will learn a lot if you're deployed in a good client (is definitely a con if you get deployed in a bad one).,"There is not really a career progression laid out. Next steps for promotion, etc, are not really clear/are not structured at all. Pay is not that good if you don't live in a cheap city -- i.e., it won't match the salaries in big expensive capitals.",2026-05-05,19
TeamBlind,2021-07-23,29,2021,3.0,Anónimo,Senior Front End Developer,Great WorkLife Balance,,"Good work life balance. Pays overtime. Multiple projects, so there is always work.","No Career plans, managers have too many projects so they loose focus.",2026-05-05,19
TeamBlind,2021-04-01,13,2021,2.0,Anónimo,Sales Executive,Rapidly growing software outsourcing org,,Good base salary for sales. Good word life balance. Working with cool organizations.,HR is a nightmare. Horrible benefits for the US. They sell you a lie on how much you can make in commission. I think that’s why base salary is higher.,2026-05-05,19
TeamBlind,2021-03-30,13,2021,4.0,Anónimo,Operations Manager,100% remote - autonomy,,"You are expected to be self-managed, you get a lot of autonomy. It's flexible schedule, working from home!","It's outsourcing, so opportunities are subject to customer reqs. If it was a product/service development company, you may have more opportunities",2026-05-05,19
Glassdoor,2026-04-10,15,2026,3.0,Anónimo,Sr. frontend engineer,Sr. Frontend Engineer,,"Trabajo remoto, si te quedas sin cliente te buscan otro rapidamente",Dificil de recibir buenos aumentos,2026-05-05,19
Glassdoor,2026-03-10,11,2026,2.0,Anónimo,Talent representative,No recomiendo,,"trabajo remoto, flexible con los horarios",salario muy poco compretivo para la expectativa,2026-05-05,19
Glassdoor,2026-02-04,6,2026,2.0,Anónimo,It recruiter,Deja que desear.,,Horarios de trabajo flexible y trabajo remoto.,"Trabajo rutinario, donde se pide creatividad y constantes ideas de mejora que aún siendo aplicadas por el management no retribuyen al empleado de ninguna manera. Poco transparentes.",2026-05-05,19
Glassdoor,2026-01-25,4,2026,3.0,Anónimo,Outreach specialist,Beneficios Contractos,,"Teletrabajo, horarios flexibles, sueldo en dólares, equipos multiculturales, oportunidad de escalar en la empresa","Actividades muy repetitivas, proceso de selección muy largo y no feedback",2026-05-05,19
Glassdoor,2026-01-12,3,2026,4.0,Anónimo,Software engineer,Me siento bien,,"Me tratan como una persona, respetan mis horarios","Escalar toma tiempo, es posible pero requiere buscarlo constantemente",2026-05-05,19
Glassdoor,2026-01-03,1,2026,4.0,Anónimo,Project manager,Project Manager,,100% remoto Paga puntual Buen ambiente laboral (compañeros colaborativos),"Al ser remoto se audita todo el trabajo que se realiza, mucha carga laboral por tiempos medios de tiempo (3 meses)",2026-05-05,19
Glassdoor,2025-12-24,52,2025,5.0,Anónimo,Software development engineer,Flexibilidad laboral: beneficios y riesgos operativos,,"Flexibilidad en las horas de trabajo, permitiendo compatibilizar compromisos personales con las responsabilidades laborales. Posibilidad de recuperar horas en otros momentos sin afectar el cumplimiento de objetivos. Enfoque en resultados más que en control horario. Trabajo remoto, lo que reduce tiempos de traslado y mejora la eficiencia personal. Mayor autonomía en la organización del tiempo y las tareas.",La flexibilidad horaria puede extender la jornada laboral hacia la noche o fines de semana. Riesgo de desdibujar los límites entre la vida personal y laboral. Requiere un alto nivel de autodisciplina y organización personal. Posible sensación de disponibilidad permanente. Menor interacción presencial con el equipo.,2026-05-05,19
Glassdoor,2025-12-16,51,2025,4.0,Anónimo,Senior full stack developer,"Buena exposición a clientes, buen liderazgo pero mejorable",,"Buen pago, clientes interesantes, proyectos reales, exposición internacional, experiencia profesional, tremenda cartera de clientes","Falta de transparencia, liderazgo débil, poco crecimiento, procesos inestables, comunicación tardía, lideres cansados y sin motivacion",2026-05-05,19
Glassdoor,2025-12-12,50,2025,4.0,Anónimo,Senior software engineer,Sueldo,,Sueldo esta Acorde al mercado,Es dificil conseguir un aumento o escalar,2026-05-05,19
Glassdoor,2025-11-30,48,2025,3.0,Anónimo,Senior python developer,It depends of the project.,,"Remote, Salary base. extra hours paid.","Have a good experience strongly depends of the project (client). Personally I haven't had a bad experience, but some coworkers does.",2026-05-05,19
